corpus,path,family,dialect_used,status,error,total_steps,fwd_steps,uncall_steps,time_ratio,max_live_vars,max_live_bits,live_init,live_final,transient_peak,log2_T,k_space,k_time,call_depth_max,local_var_max,n_calls,n_uncalls,peak_step,peak_fraction,wall_seconds,catalog_status
reversible-algorithms,others/code/lisort.j,others,jana2014,ok,,114,79,35,1.443,7,40,2,3,4,6.833,0.585,0.529,2,5,1,5,33,0.2895,0.005,reversible
reversible-algorithms,others/examples/binarytree2e.j,others,jana2014,ok,,379,283,96,1.3392,11,100,0,8,3,8.566,0.35,0.421,4,3,51,24,352,0.9288,0.021,reversible
reversible-algorithms,others/examples/breadth_first_search.j,others,jana2014,ok,,1279,570,709,2.2439,18,203,0,8,10,10.321,0.969,1.166,5,5,100,81,940,0.7349,0.071,reversible
reversible-algorithms,others/examples/buildTree.j,others,jana2014,ok,,87,87,0,1.0,8,52,0,5,3,6.443,0.466,0.0,1,3,1,0,35,0.4023,0.005,reversible
reversible-algorithms,others/examples/combination.j,others,jana2014,ok,,21,21,0,1.0,5,15,0,3,2,4.392,0.455,0.0,1,2,1,0,7,0.3333,0.004,reversible
reversible-algorithms,others/examples/counting_sort.j,others,jana2014,ok,,67,67,0,1.0,6,46,0,5,1,6.066,0.165,0.0,1,1,1,0,42,0.6269,0.005,reversible
reversible-algorithms,others/examples/fact.j,others,jana2014,ok,,283,39,244,7.2564,6,19,0,2,4,8.145,0.491,2.859,6,5,32,31,180,0.636,0.01,reversible
reversible-algorithms,others/examples/factorization.j,others,jana2014,ok,,231,231,0,1.0,4,32,0,1,3,7.852,0.382,0.0,2,2,6,0,5,0.0216,0.006,reversible
reversible-algorithms,others/examples/genParentheses.j,others,jana2014,ok,,202,202,0,1.0,8,23,0,1,7,7.658,0.914,0.0,7,5,22,0,19,0.0941,0.02,reversible
reversible-algorithms,others/examples/genSuc.j,others,jana2014,ok,,64,64,0,1.0,5,14,0,2,3,6.0,0.5,0.0,1,3,2,0,13,0.2031,0.005,reversible
reversible-algorithms,others/examples/invtab2rank.j,others,jana2014,ok,,90,60,30,1.5,6,63,0,2,4,6.492,0.616,0.585,2,3,1,1,19,0.2111,0.005,reversible
reversible-algorithms,others/examples/linkedlist5e.j,others,jana2014,ok,,307,186,121,1.6505,7,79,0,5,2,8.262,0.242,0.723,3,3,35,27,137,0.4463,0.016,reversible
reversible-algorithms,others/examples/shell_sort1.j,others,jana2014,ok,,319,171,148,1.8655,8,78,0,3,5,8.317,0.601,0.9,1,4,1,1,174,0.5455,0.013,reversible
reversible-algorithms,others/matrixmult.j,others,jana2014,error,"line 1: Unexpected ""n""",,,,,,,,,,,,,,,,,,,0.007,by_design
reversible-algorithms,others/stackPermut.j,others,jana2014,ok,,752,752,0,1.0,8,18,0,2,6,9.555,0.628,0.0,9,4,64,0,97,0.129,0.031,reversible
reversible-algorithms,perm/code/perm2decfac.j,perm,jana2014,ok,,723,244,479,2.9631,13,62,0,2,11,9.498,1.158,1.567,3,11,23,23,436,0.603,0.035,reversible
reversible-algorithms,perm/code/perm2decfac_nolex.j,perm,jana2014,ok,,105,105,0,1.0,5,48,0,2,3,6.714,0.447,0.0,2,3,3,0,38,0.3619,0.005,reversible
reversible-algorithms,perm/code/perm2rank.j,perm,jana2014,ok,,28,28,0,1.0,5,15,0,2,3,4.807,0.624,0.0,5,1,5,0,13,0.4643,0.007,reversible
