path,family,dialect_used,total_steps,fwd_steps,time_ratio,n_calls,n_uncalls,call_depth_max,sem_uncompute_steps_loose,time_ratio_sem_loose,n_partial,sem_uncompute_steps,sem_fwd_steps,time_ratio_sem,k_time_sem,n_paired,n_paired_same_dir,n_paired_calls,n_unpaired_uncalls,class_syntactic,class_semantic,class_semantic_loose
others/examples/shell_sort1.j,others,jana2014,319,171,1.8655,1,1,1,149,1.8765,1,0,319,1.0,0.0,0,0,0,0,C,A1,C
perm/perm.j,perm,jana2014,18,18,1.0,1,0,1,0,1.0,0,0,18,1.0,0.0,0,0,0,0,A1,A1,A1
perm/perm2.j,perm,jana2014,15,15,1.0,1,0,1,0,1.0,0,0,15,1.0,0.0,0,0,0,0,A1,A1,A1
perm/perm2invtab1.j,perm,jana2014,10,10,1.0,0,0,0,0,1.0,0,0,10,1.0,0.0,0,0,0,0,A1,A1,A1
perm/code/perm2decfac.j,perm,jana2014,723,244,2.9631,23,23,3,218,1.4317,0,218,505,1.4317,0.518,22,0,0,1,D,B,B
perm/code/perm2decfac_nolex.j,perm,jana2014,105,105,1.0,3,0,2,0,1.0,0,0,105,1.0,0.0,0,0,0,0,A1,A1,A1
perm/code/perm2rank.j,perm,jana2014,28,28,1.0,5,0,5,0,1.0,0,0,28,1.0,0.0,0,0,0,0,A1,A1,A1
perm/code/perm2rank2.j,perm,jana2014,102,102,1.0,9,0,5,0,1.0,0,0,102,1.0,0.0,0,0,0,0,A1,A1,A1
qsort/qsort2.j,qsort,jana2014,515,406,1.2685,26,5,5,114,1.2843,0,114,401,1.2843,0.361,5,0,0,0,B,B,B
qsort/queue5e.j,qsort,jana2014,381,207,1.8406,24,24,3,215,2.2952,18,0,381,1.0,0.0,0,0,0,10,C,A1,D
qsort/code/qsort.j,qsort,jana2014,387,204,1.8971,22,10,5,84,1.2772,0,84,303,1.2772,0.353,5,0,0,5,C,B,B
qsort/code/qsort1.j,qsort,jana2014,388,205,1.8927,22,10,5,84,1.2763,0,84,304,1.2763,0.352,5,0,0,5,C,B,B
qsort/code/qsort2.j,qsort,jana2014,362,283,1.2792,27,5,5,84,1.3022,0,84,278,1.3022,0.381,5,0,0,0,B,B,B
rank/rank.j,rank,jana2014,2171,787,2.7586,126,124,3,1188,2.2085,8,940,1231,1.7636,0.819,100,0,0,20,D,C,D
rank/rank_lexicographic.j,rank,jana2014,722,10,72.2,22,24,3,218,1.4325,0,218,504,1.4325,0.519,22,0,0,2,E,B,B
rank/rank_perm.j,rank,jana2014,262,205,1.278,17,7,5,64,1.3232,0,64,198,1.3232,0.404,7,0,0,0,B,B,B
scc/kosaraju.j,scc,jana2014,311,311,1.0,11,0,6,0,1.0,0,0,311,1.0,0.0,0,0,0,0,A1,A1,A1
ssort/ssort1.j,ssort,jana2014,259,171,1.5146,14,6,4,94,1.5697,6,0,259,1.0,0.0,0,0,0,0,B,A1,B
ssort/code/ssort.j,ssort,jana2014,243,155,1.5677,14,6,4,94,1.6309,6,0,243,1.0,0.0,0,0,0,0,B,A1,C
ssort/code/ssort1.j,ssort,jana2014,279,17,16.4118,14,7,4,94,1.5081,0,94,185,1.5081,0.593,6,0,0,1,E,B,B
string_search/Force_str_search1-a.j,string_search,jana2014,43,43,1.0,1,0,1,0,1.0,0,0,43,1.0,0.0,0,0,0,0,A1,A1,A1
string_search/Force_str_search1-b.j,string_search,jana2014,40,40,1.0,1,0,1,0,1.0,0,0,40,1.0,0.0,0,0,0,0,A1,A1,A1
string_search/Force_str_search1-c.j,string_search,jana2014,40,40,1.0,1,0,1,0,1.0,0,0,40,1.0,0.0,0,0,0,0,A1,A1,A1
string_search/Force_str_search2-a.j,string_search,jana2014,35,35,1.0,1,0,1,0,1.0,0,0,35,1.0,0.0,0,0,0,0,A1,A1,A1
string_search/Force_str_search2-b.j,string_search,jana2014,31,31,1.0,1,0,1,0,1.0,0,0,31,1.0,0.0,0,0,0,0,A1,A1,A1
string_search/Force_str_search2-c.j,string_search,jana2014,38,38,1.0,1,0,1,0,1.0,0,0,38,1.0,0.0,0,0,0,0,A1,A1,A1
string_search/kmp2.j,string_search,jana2014,168,168,1.0,2,0,2,0,1.0,0,0,168,1.0,0.0,0,0,0,0,A1,A1,A1
toposort/toposort.j,toposort,jana2014,160,160,1.0,6,0,5,0,1.0,0,0,160,1.0,0.0,0,0,0,0,A1,A1,A1
treesort/treesort.j,treesort,jana2014,423,423,1.0,71,0,7,6,1.0144,1,0,423,1.0,0.0,0,0,0,0,A1,A1,B
