n,schedule,family,step,moves,pebbles,state_size,temps,time,time_pred,baseline_time,time_ratio,peak_space,declared_space,space_pred,output_ok
256,"bennett(k=4,m=4)",bennett,step_fib.srl,2401,13,2,0,7203,7203,768,9.3789,27,28,28,True
256,"bennett(k=4,m=4)",bennett,step_lcg.srl,2401,13,1,0,2401,2401,256,9.3789,14,14,14,True
256,"bennett(k=4,m=4)",bennett,step_tri.srl,2401,13,1,2,42066,42066,4524,9.2984,16,16,16,True
256,"bennett(k=2,m=16)",bennett,step_fib.srl,961,31,2,0,2883,2883,768,3.7539,63,64,64,True
256,"bennett(k=2,m=16)",bennett,step_lcg.srl,961,31,1,0,961,961,256,3.7539,32,32,32,True
256,"bennett(k=2,m=16)",bennett,step_tri.srl,961,31,1,2,16962,16962,4524,3.7493,34,34,34,True
256,optimal(s=9),optimal,step_fib.srl,3835,9,2,0,11505,11505,768,14.9805,19,20,20,True
256,optimal(s=9),optimal,step_lcg.srl,3835,9,1,0,3835,3835,256,14.9805,10,10,10,True
256,optimal(s=9),optimal,step_tri.srl,3835,9,1,2,66558,66558,4524,14.7122,12,12,12,True
256,optimal(s=12),optimal,step_fib.srl,1785,12,2,0,5355,5355,768,6.9727,25,26,26,True
256,optimal(s=12),optimal,step_lcg.srl,1785,12,1,0,1785,1785,256,6.9727,13,13,13,True
256,optimal(s=12),optimal,step_tri.srl,1785,12,1,2,31530,31530,4524,6.9695,15,15,15,True
256,optimal(s=16),optimal,step_fib.srl,1505,16,2,0,4515,4515,768,5.8789,33,34,34,True
256,optimal(s=16),optimal,step_lcg.srl,1505,16,1,0,1505,1505,256,5.8789,17,17,17,True
256,optimal(s=16),optimal,step_tri.srl,1505,16,1,2,26730,26730,4524,5.9085,19,19,19,True
256,optimal(s=24),optimal,step_fib.srl,975,24,2,0,2925,2925,768,3.8086,49,50,50,True
256,optimal(s=24),optimal,step_lcg.srl,975,24,1,0,975,975,256,3.8086,25,25,25,True
256,optimal(s=24),optimal,step_tri.srl,975,24,1,2,17238,17238,4524,3.8103,27,27,27,True
